author_full,journal,volume,year,pages,publisher,paperid,doi,author,url,type,title,journal_full,issue,page
"Chong Xiao, Zhou Li, Kun Li, Pengcheng Huang, Yi Xie,",Acc. Chem. Res.,47,2014,1287-1295,American Chemical Society (ACS),1,10.1021/ar400290f,"C. Xiao, Z. Li, K. Li, P. Huang, Y. Xie,",http://dx.doi.org/10.1021/ar400290f,article-journal,Decoupling Interrelated Parameters for Designing High Performance Thermoelectric Materials,Accounts of Chemical Research,4,1287
"B. Zhang, J. Sun, H. E. Katz, F. Fang, R. L. Opila,",ACS Appl. Mater. Interfaces,2,2010,3170-3178,American Chemical Society (ACS),2,10.1021/am100654p,"B. Zhang, J. Sun, H. Katz, F. Fang, R. Opila,",http://dx.doi.org/10.1021/am100654p,article-journal,Promising Thermoelectric Properties of Commercial PEDOT:PSS Materials and Their Bi2Te3Powder Composites,ACS Applied Materials & Interfaces,11,3170
"Cham Kim, Dong Hwan Kim, Hoyoung Kim, Jong Shik Chung,",ACS Appl. Mater. Interfaces,4,2012,2949-2954,American Chemical Society (ACS),3,10.1021/am3002764,"C. Kim, D. Kim, H. Kim, J. Chung,",http://dx.doi.org/10.1021/am3002764,article-journal,Significant Enhancement in the Thermoelectric Performance of a Bismuth Telluride Nanocompound through Brief Fabrication Procedures,ACS Applied Materials & Interfaces,6,2949
"Cham Kim, Dong Hwan Kim, Jong Tae Kim, Yoon Soo Han, Hoyoung Kim,",ACS Appl. Mater. Interfaces,6,2014,778-785,American Chemical Society (ACS),5,10.1021/am405035z,"C. Kim, D. Kim, J. Kim, Y. Han, H. Kim,",http://dx.doi.org/10.1021/am405035z,article-journal,Investigation of Reaction Mechanisms of Bismuth Tellurium Selenide Nanomaterials for Simple Reaction Manipulation Causing Effective Adjustment of Thermoelectric Properties,ACS Applied Materials & Interfaces,2,778
"P. K. Rawat, B. Paul, P. Banerji,",ACS Appl. Mater. Interfaces,6,2014,3995-4004,American Chemical Society (ACS),6,10.1021/am405410e,"P. Rawat, B. Paul, P. Banerji,",http://dx.doi.org/10.1021/am405410e,article-journal,Exploration of Zn Resonance Levels and Thermoelectric Properties in I-Doped PbTe with ZnTe Nanostructures,ACS Applied Materials & Interfaces,6,3995
"Ranu Bhatt, Shovit Bhattacharya, Ranita Basu, Sajid Ahmad, A. K. Chauhan, G. S. Okram, Pramod Bhatt, Mainak Roy, M. Navaneethan, Y. Hayakawa, A. K. Debnath, Ajay Singh, D. K. Aswal, S. K. Gupta,",ACS Appl. Mater. Interfaces,6,2014,18619-18625,American Chemical Society (ACS),7,10.1021/am503477z,"R. Bhatt, S. Bhattacharya, R. Basu, S. Ahmad, A. Chauhan, G. Okram, P. Bhatt, M. Roy, M. Navaneethan, Y. Hayakawa, A. Debnath, A. Singh, D. Aswal, S. Gupta,",http://dx.doi.org/10.1021/am503477z,article-journal,Enhanced Thermoelectric Properties of Selenium-Deficient Layered TiSe2–x: A Charge-Density-Wave Material,ACS Applied Materials & Interfaces,21,18619
"Chaochao Dun, Corey A. Hewitt, Huihui Huang, Junwei Xu, David S. Montgomery, Wanyi Nie, Qike Jiang, David L. Carroll,",ACS Appl. Mater. Interfaces,7,2015,7054-7059,American Chemical Society (ACS),8,10.1021/acsami.5b00514,"C. Dun, C. Hewitt, H. Huang, J. Xu, D. Montgomery, W. Nie, Q. Jiang, D. Carroll,",http://dx.doi.org/10.1021/acsami.5b00514,article-journal,Layered Bi2Se3Nanoplate/Polyvinylidene Fluoride Composite Based n-type Thermoelectric Fabrics,ACS Applied Materials & Interfaces,13,7054
"Xin Liang,",ACS Appl. Mater. Interfaces,7,2015,7927-7937,American Chemical Society (ACS),9,10.1021/am509050a,"X. Liang,",http://dx.doi.org/10.1021/am509050a,article-journal,Thermoelectric Transport Properties of Fe-Enriched ZnO with High-Temperature Nanostructure Refinement,ACS Applied Materials & Interfaces,15,7927
"Kaya Wei, George S. Nolas,",ACS Appl. Mater. Interfaces,7,2015,9752-9757,American Chemical Society (ACS),12,10.1021/acsami.5b01617,"K. Wei, G. Nolas,",http://dx.doi.org/10.1021/acsami.5b01617,article-journal,Synthesis and Characterization of Nanostructured Stannite Cu2ZnSnSe4and Ag2ZnSnSe4for Thermoelectric Applications,ACS Applied Materials & Interfaces,18,9752
"Heng Quan Yang, Lei Miao, Cheng Yan Liu, Chao Li, Sawao Honda, Yuji Iwamoto, Rong Huang, Sakae Tanemura,",ACS Appl. Mater. Interfaces,7,2015,14263-14271,American Chemical Society (ACS),13,10.1021/acsami.5b02504,"H. Yang, L. Miao, C. Liu, C. Li, S. Honda, Y. Iwamoto, R. Huang, S. Tanemura,",http://dx.doi.org/10.1021/acsami.5b02504,article-journal,A Facile Surfactant-Assisted Reflux Method for the Synthesis of Single-Crystalline Sb2Te3Nanostructures with Enhanced Thermoelectric Performance,ACS Applied Materials & Interfaces,26,14263
"Jiefei Fu, Xianli Su, Yun Zheng, Hongyao Xie, Yonggao Yan, Xinfeng Tang, Ctirad Uher,",ACS Appl. Mater. Interfaces,7,2015,19172-19178,American Chemical Society (ACS),15,10.1021/acsami.5b04910,"J. Fu, X. Su, Y. Zheng, H. Xie, Y. Yan, X. Tang, C. Uher,",http://dx.doi.org/10.1021/acsami.5b04910,article-journal,Thermoelectric Properties of Ga/Ag Codoped Type-III Ba24Ge100Clathrates with in Situ Nanostructures,ACS Applied Materials & Interfaces,34,19172
"Zihang Liu, Jing Shuai, Huiyuan Geng, Jun Mao, Yan Feng, Xu Zhao, Xianfu Meng, Ran He, Wei Cai, Jiehe Sui,",ACS Appl. Mater. Interfaces,7,2015,23047-23055,American Chemical Society (ACS),16,10.1021/acsami.5b06492,"Z. Liu, J. Shuai, H. Geng, J. Mao, Y. Feng, X. Zhao, X. Meng, R. He, W. Cai, J. Sui,",http://dx.doi.org/10.1021/acsami.5b06492,article-journal,Contrasting the Role of Mg and Ba Doping on the Microstructure and Thermoelectric Properties of p-Type AgSbSe2,ACS Applied Materials & Interfaces,41,23047
"Yu-Shen Liu, Yi-Ren Chen, Yu-Chang Chen,",ACS Nano,3,2009,3497-3504,American Chemical Society (ACS),18,10.1021/nn900986r,"Y. Liu, Y. Chen, Y. Chen,",http://dx.doi.org/10.1021/nn900986r,article-journal,Thermoelectric Efficiency in Nanojunctions: A Comparison between Atomic Junctions and Molecular Junctions,ACS Nano,11,3497
"Marcus Scheele, Niels Oeschler, Igor Veremchuk, Sven-Ole Peters, Alexander Littig, Andreas Kornowski, Christian Klinke, Horst Weller,",ACS Nano,5,2011,8541-8551,American Chemical Society (ACS),20,10.1021/nn2017183,"M. Scheele, N. Oeschler, I. Veremchuk, S. Peters, A. Littig, A. Kornowski, C. Klinke, H. Weller,",http://dx.doi.org/10.1021/nn2017183,article-journal,Thermoelectric Properties of Lead Chalcogenide Core–Shell Nanostructures,ACS Nano,11,8541
"Maria Ibáñez, Reza Zamani, Stéphane Gorsse, Jiandong Fan, Silvia Ortega, Doris Cadavid, Joan Ramon Morante, Jordi Arbiol, Andreu Cabot,",ACS Nano,7,2013,2573-2586,American Chemical Society (ACS),21,10.1021/nn305971v,"M. Ibáñez, R. Zamani, S. Gorsse, J. Fan, S. Ortega, D. Cadavid, J. Morante, J. Arbiol, A. Cabot,",http://dx.doi.org/10.1021/nn305971v,article-journal,Core–Shell Nanoparticles As Building Blocks for the Bottom-Up Production of Functional Nanocomposites: PbTe–PbS Thermoelectric Properties,ACS Nano,3,2573
"Yuho Min, Gyeongbae Park, Bongsoo Kim, Anupam Giri, Jie Zeng, Jong Wook Roh, Sang Il Kim, Kyu Hyoung Lee, Unyong Jeong,",ACS Nano,9,2015,6843-6853,American Chemical Society (ACS),23,10.1021/nn507250r,"Y. Min, G. Park, B. Kim, A. Giri, J. Zeng, J. Roh, S. Kim, K. Lee, U. Jeong,",http://dx.doi.org/10.1021/nn507250r,article-journal,Synthesis of Multishell Nanoplates by Consecutive Epitaxial Growth of Bi2Se3and Bi2Te3Nanoplates and Enhanced Thermoelectric Properties,ACS Nano,7,6843
"Jean-Numa Gillet,",ACS Sustainable Chem. Eng.,1,2013,611-618,American Chemical Society (ACS),24,10.1021/sc400020c,"J. Gillet,",http://dx.doi.org/10.1021/sc400020c,article-journal,Ultralow Thermal Conductivity Minimum in Silicon Supercrystals with Weakly and Strongly Bonded Germanium Nanodots for Thermoelectrics,ACS Sustainable Chemistry & Engineering,6,611
"Jung-Hwan Kim, Norihiko L. Okamoto, Kyosuke Kishida, Katsushi Tanaka, Haruyuki Inui,",Acta Materialia,54,2006,2057-2062,Elsevier BV,27,10.1016/j.actamat.2005.12.032,"J. Kim, N. Okamoto, K. Kishida, K. Tanaka, H. Inui,",http://dx.doi.org/10.1016/j.actamat.2005.12.032,article-journal,High thermoelectric performance of type-III clathrate compounds of the Ba–Ge–Ga system,Acta Materialia,8,2057
"H FUKUTOMI, E IGUCHI,",Acta Materialia,55,2007,4213-4219,Elsevier BV,28,10.1016/j.actamat.2007.03.019,"H. FUKUTOMI, E. IGUCHI,",http://dx.doi.org/10.1016/j.actamat.2007.03.019,article-journal,Texture development in Bi1.5Pb0.5Sr1.7Y0.5Co2O9−δ layered cobaltite by high-temperature compression deformation and its effect on thermoelectric properties,Acta Materialia,12,4213
"R ROBERT, M AGUIRRE, P HUG, A RELLER, A WEIDENKAFF,",Acta Materialia,55,2007,4965-4972,Elsevier BV,29,10.1016/j.actamat.2007.05.020,"R. ROBERT, M. AGUIRRE, P. HUG, A. RELLER, A. WEIDENKAFF,",http://dx.doi.org/10.1016/j.actamat.2007.05.020,article-journal,"High-temperature thermoelectric properties of Ln(Co, Ni)O3 (Ln=La, Pr, Nd, Sm, Gd and Dy) compounds",Acta Materialia,15,4965
"Myriam H. Aguirre, Dmitry Logvinovich, Laura Bocher, Rosa Robert, Stefan G. Ebbinghaus, Anke Weidenkaff,",Acta Materialia,57,2009,108-115,Elsevier BV,30,10.1016/j.actamat.2008.09.003,"M. Aguirre, D. Logvinovich, L. Bocher, R. Robert, S. Ebbinghaus, A. Weidenkaff,",http://dx.doi.org/10.1016/j.actamat.2008.09.003,article-journal,High-temperature thermoelectric properties of Sr2RuYO6 and Sr2RuErO6 double perovskites influenced by structure and microstructure,Acta Materialia,1,108
"Kyosuke Kishida, Akira Ishida, Tatsuya Koyama, Shunta Harada, Norihiko L. Okamoto, Katsushi Tanaka, Haruyuki Inui,",Acta Materialia,57,2009,2010-2019,Elsevier BV,32,10.1016/j.actamat.2008.12.039,"K. Kishida, A. Ishida, T. Koyama, S. Harada, N. Okamoto, K. Tanaka, H. Inui,",http://dx.doi.org/10.1016/j.actamat.2008.12.039,article-journal,Thermoelectric properties of ternary and Al-containing quaternary Ru1−xRexSiy chimney–ladder compounds,Acta Materialia,6,2010
"Cui Yu, Tie-Jun Zhu, Rui-Zhi Shi, Yun Zhang, Xin-Bing Zhao, Jian He,",Acta Materialia,57,2009,2757-2764,Elsevier BV,33,10.1016/j.actamat.2009.02.026,"C. Yu, T. Zhu, R. Shi, Y. Zhang, X. Zhao, J. He,",http://dx.doi.org/10.1016/j.actamat.2009.02.026,article-journal,High-performance half-Heusler thermoelectric materials Hf1−x ZrxNiSn1−ySby prepared by levitation melting and spark plasma sintering,Acta Materialia,9,2757
"S.Q. Bai, Y.Z. Pei, L.D. Chen, W.Q. Zhang, X.Y. Zhao, J. Yang,",Acta Materialia,57,2009,3135-3139,Elsevier BV,34,10.1016/j.actamat.2009.03.018,"S. Bai, Y. Pei, L. Chen, W. Zhang, X. Zhao, J. Yang,",http://dx.doi.org/10.1016/j.actamat.2009.03.018,article-journal,Enhanced thermoelectric performance of dual-element-filled skutterudites BaxCeyCo4Sb12,Acta Materialia,11,3135
"Norihiko L. Okamoto, Tatsuya Koyama, Kyosuke Kishida, Katsushi Tanaka, Haruyuki Inui,",Acta Materialia,57,2009,5036-5045,Elsevier BV,35,10.1016/j.actamat.2009.07.005,"N. Okamoto, T. Koyama, K. Kishida, K. Tanaka, H. Inui,",http://dx.doi.org/10.1016/j.actamat.2009.07.005,article-journal,Crystal structure and thermoelectric properties of chimney–ladder compounds in the Ru2Si3–Mn4Si7 pseudobinary system,Acta Materialia,17,5036
"Laura Bocher, Myriam H. Aguirre, Rosa Robert, Dmitry Logvinovich, Snejana Bakardjieva, Jiri Hejtmanek, Anke Weidenkaff,",Acta Materialia,57,2009,5667-5680,Elsevier BV,36,10.1016/j.actamat.2009.07.062,"L. Bocher, M. Aguirre, R. Robert, D. Logvinovich, S. Bakardjieva, J. Hejtmanek, A. Weidenkaff,",http://dx.doi.org/10.1016/j.actamat.2009.07.062,article-journal,"High-temperature stability, structure and thermoelectric properties of CaMn1-xNbxO3CaMn1-xNbxO3 phases",Acta Materialia,19,5667
"S.N. Zhang, T.J. Zhu, S.H. Yang, C. Yu, X.B. Zhao,",Acta Materialia,58,2010,4160-4169,Elsevier BV,37,10.1016/j.actamat.2010.04.007,"S. Zhang, T. Zhu, S. Yang, C. Yu, X. Zhao,",http://dx.doi.org/10.1016/j.actamat.2010.04.007,article-journal,"Phase compositions, nanoscale microstructures and thermoelectric properties in Ag2−ySbyTe1+y alloys with precipitated Sb2Te3 plates",Acta Materialia,12,4160
"Yoshisato Kimura, Toshiyasu Tanoguchi, Takuji Kita,",Acta Materialia,58,2010,4354-4361,Elsevier BV,38,10.1016/j.actamat.2010.04.028,"Y. Kimura, T. Tanoguchi, T. Kita,",http://dx.doi.org/10.1016/j.actamat.2010.04.028,article-journal,Vacancy site occupation by Co and Ir in half-Heusler ZrNiSn and conversion of the thermoelectric properties from n-type to p-type,Acta Materialia,13,4354
"Dong Hwan Kim, Cham Kim, Seong Hyeon Heo, Hoyoung Kim,",Acta Materialia,59,2011,405-411,Elsevier BV,40,10.1016/j.actamat.2010.09.054,"D. Kim, C. Kim, S. Heo, H. Kim,",http://dx.doi.org/10.1016/j.actamat.2010.09.054,article-journal,Influence of powder morphology on thermoelectric anisotropy of spark-plasma-sintered Bi–Te-based thermoelectric materials,Acta Materialia,1,405
"Petr Tomeš, Dmitry Logvinovich, Jiří Hejtmánek, Myriam H. Aguirre, Anke Weidenkaff,",Acta Materialia,59,2011,1134-1140,Elsevier BV,41,10.1016/j.actamat.2010.10.046,"P. Tomeš, D. Logvinovich, J. Hejtmánek, M. Aguirre, A. Weidenkaff,",http://dx.doi.org/10.1016/j.actamat.2010.10.046,article-journal,Magnetic influence on thermoelectric properties of CrO0.1N0.9,Acta Materialia,3,1134
"Ping Wei, Wen-Yu Zhao, Chun-Lei Dong, Xuan Yang, Jian Yu, Qing-Jie Zhang,",Acta Materialia,59,2011,3244-3254,Elsevier BV,42,10.1016/j.actamat.2011.01.064,"P. Wei, W. Zhao, C. Dong, X. Yang, J. Yu, Q. Zhang,",http://dx.doi.org/10.1016/j.actamat.2011.01.064,article-journal,Excellent performance stability of Ba and In double-filled skutterudite thermoelectric materials,Acta Materialia,8,3244
"Shanyu Wang, Han Li, Dekui Qi, Wenjie Xie, Xinfeng Tang,",Acta Materialia,59,2011,4805-4817,Elsevier BV,43,10.1016/j.actamat.2011.04.023,"S. Wang, H. Li, D. Qi, W. Xie, X. Tang,",http://dx.doi.org/10.1016/j.actamat.2011.04.023,article-journal,Enhancement of the thermoelectric performance of β-Zn4Sb3 by in situ nanostructures and minute Cd-doping,Acta Materialia,12,4805
"Dong Hwan Kim, Cham Kim, Koo-Chul Je, Gook Hyun Ha, Hoyoung Kim,",Acta Materialia,59,2011,4957-4963,Elsevier BV,44,10.1016/j.actamat.2011.04.040,"D. Kim, C. Kim, K. Je, G. Ha, H. Kim,",http://dx.doi.org/10.1016/j.actamat.2011.04.040,article-journal,Fabrication and thermoelectric properties of c-axis-aligned Bi0.5Sb1.5Te3 with a high magnetic field,Acta Materialia,12,4957
"Wen-Yu Zhao, Zhu Liang, Ping Wei, Jian Yu, Qing-Jie Zhang, Guo-Sheng Shao,",Acta Materialia,60,2012,1741-1746,Elsevier BV,46,10.1016/j.actamat.2011.11.056,"W. Zhao, Z. Liang, P. Wei, J. Yu, Q. Zhang, G. Shao,",http://dx.doi.org/10.1016/j.actamat.2011.11.056,article-journal,Enhanced thermoelectric performance via randomly arranged nanopores: Excellent transport properties of YbZn2Sb2 nanoporous materials,Acta Materialia,4,1741
"J.Y. Cho, Z. Ye, M.M. Tessema, R.A. Waldo, J.R. Salvador, J. Yang, W. Cai, H. Wang,",Acta Materialia,60,2012,2104-2110,Elsevier BV,47,10.1016/j.actamat.2011.12.022,"J. Cho, Z. Ye, M. Tessema, R. Waldo, J. Salvador, J. Yang, W. Cai, H. Wang,",http://dx.doi.org/10.1016/j.actamat.2011.12.022,article-journal,Thermoelectric properties of p-type skutterudites YbxFe3.5Ni0.5Sb12 (0.8⩽x⩽1),Acta Materialia,5,2104
"J. Eilertsen, S. Rouvimov, M.A. Subramanian,",Acta Materialia,60,2012,2178-2185,Elsevier BV,48,10.1016/j.actamat.2011.12.028,"J. Eilertsen, S. Rouvimov, M. Subramanian,",http://dx.doi.org/10.1016/j.actamat.2011.12.028,article-journal,Rattler-seeded InSb nanoinclusions from metastable indium-filled In0.1Co4Sb12 skutterudites for high-performance thermoelectrics,Acta Materialia,5,2178
"Xianli Su, Han Li, Yonggao Yan, Guoyu Wang, Hang Chi, Xiaoyuan Zhou, Xinfeng Tang, Qingjie Zhang, Ctirad Uher,",Acta Materialia,60,2012,3536-3544,Elsevier BV,49,10.1016/j.actamat.2012.02.034,"X. Su, H. Li, Y. Yan, G. Wang, H. Chi, X. Zhou, X. Tang, Q. Zhang, C. Uher,",http://dx.doi.org/10.1016/j.actamat.2012.02.034,article-journal,Microstructure and thermoelectric properties of CoSb2.75Ge0.25−xTex prepared by rapid solidification,Acta Materialia,8,3536
"L.P. Hu, X.H. Liu, H.H. Xie, J.J. Shen, T.J. Zhu, X.B. Zhao,",Acta Materialia,60,2012,4431-4437,Elsevier BV,50,10.1016/j.actamat.2012.05.008,"L. Hu, X. Liu, H. Xie, J. Shen, T. Zhu, X. Zhao,",http://dx.doi.org/10.1016/j.actamat.2012.05.008,article-journal,Improving thermoelectric properties of n-type bismuth–telluride-based alloys by deformation-induced lattice defects and texture enhancement,Acta Materialia,11,4431
"Michihiro Ohta, Shuhei Satoh, Toshihiro Kuzuya, Shinji Hirai, Masaru Kunii, Atsushi Yamamoto,",Acta Materialia,60,2012,7232-7240,Elsevier BV,52,10.1016/j.actamat.2012.09.035,"M. Ohta, S. Satoh, T. Kuzuya, S. Hirai, M. Kunii, A. Yamamoto,",http://dx.doi.org/10.1016/j.actamat.2012.09.035,article-journal,Thermoelectric properties of prepared by CS2 sulfurization,Acta Materialia,20,7232
"Yaniv Gelbstein,",Acta Materialia,61,2013,1499-1507,Elsevier BV,54,10.1016/j.actamat.2012.11.027,"Y. Gelbstein,",http://dx.doi.org/10.1016/j.actamat.2012.11.027,article-journal,Phase morphology effects on the thermoelectric properties of Pb0.25Sn0.25Ge0.5Te,Acta Materialia,5,1499
"Martin Søndergaard, Espen D. Bøjesen, Kasper A. Borup, Sebastian Christensen, Mogens Christensen, Bo B. Iversen,",Acta Materialia,61,2013,3314-3323,Elsevier BV,55,10.1016/j.actamat.2013.02.021,"M. Søndergaard, E. Bøjesen, K. Borup, S. Christensen, M. Christensen, B. Iversen,",http://dx.doi.org/10.1016/j.actamat.2013.02.021,article-journal,Sintering and annealing effects on ZnO microstructure and thermoelectric properties,Acta Materialia,9,3314
"Jing Fan, Huili Liu, Xiaoya Shi, Shengqiang Bai, Xun Shi, Lidong Chen,",Acta Materialia,61,2013,4297-4304,Elsevier BV,56,10.1016/j.actamat.2013.04.003,"J. Fan, H. Liu, X. Shi, S. Bai, X. Shi, L. Chen,",http://dx.doi.org/10.1016/j.actamat.2013.04.003,article-journal,Investigation of thermoelectric properties of Cu2GaxSn1−xSe3 diamond-like compounds by hot pressing and spark plasma sintering,Acta Materialia,11,4297
"R.C. Mallik, R. Anbalagan, G. Rogl, E. Royanian, P. Heinrich, E. Bauer, P. Rogl, S. Suwas,",Acta Materialia,61,2013,6698-6711,Elsevier BV,57,10.1016/j.actamat.2013.07.032,"R. Mallik, R. Anbalagan, G. Rogl, E. Royanian, P. Heinrich, E. Bauer, P. Rogl, S. Suwas,",http://dx.doi.org/10.1016/j.actamat.2013.07.032,article-journal,Thermoelectric properties of Fe0.2Co3.8Sb12−xTex skutterudites,Acta Materialia,18,6698
"Gerda Rogl, Andriy Grytsiv, Peter Rogl, Esmaeil Royanian, Ernst Bauer, Jelena Horky, Daria Setman, Erhard Schafler, Michael Zehetbauer,",Acta Materialia,61,2013,6778-6789,Elsevier BV,58,10.1016/j.actamat.2013.07.052,"G. Rogl, A. Grytsiv, P. Rogl, E. Royanian, E. Bauer, J. Horky, D. Setman, E. Schafler, M. Zehetbauer,",http://dx.doi.org/10.1016/j.actamat.2013.07.052,article-journal,Dependence of thermoelectric behaviour on severe plastic deformation parameters: A case study on p-type skutterudite DD0.60Fe3CoSb12,Acta Materialia,18,6778
"Gangjian Tan, Wei Liu, Hang Chi, Xianli Su, Shanyu Wang, Yonggao Yan, Xinfeng Tang, Winnie Wong-Ng, Ctirad Uher,",Acta Materialia,61,2013,7693-7704,Elsevier BV,59,10.1016/j.actamat.2013.09.006,"G. Tan, W. Liu, H. Chi, X. Su, S. Wang, Y. Yan, X. Tang, W. Wong-Ng, C. Uher,",http://dx.doi.org/10.1016/j.actamat.2013.09.006,article-journal,Realization of high thermoelectric performance in p-type unfilled ternary skutterudites FeSb2+xTe1−x via band structure modification and significant point defect scattering,Acta Materialia,20,7693
"Qihao Zhang, Xin Ai, Weijie Wang, Lianjun Wang, Wan Jiang,",Acta Materialia,73,2014,37-47,Elsevier BV,61,10.1016/j.actamat.2014.03.070,"Q. Zhang, X. Ai, W. Wang, L. Wang, W. Jiang,",http://dx.doi.org/10.1016/j.actamat.2014.03.070,article-journal,Preparation of 1-D/3-D structured AgNWs/Bi2Te3 nanocomposites with enhanced thermoelectric properties,Acta Materialia,,37
"Min-Gyu Kang, Kwang-Hwan Cho, Jin-Sang Kim, Sahn Nahm, Seok-Jin Yoon, Chong-Yun Kang,",Acta Materialia,73,2014,251-258,Elsevier BV,62,10.1016/j.actamat.2014.04.008,"M. Kang, K. Cho, J. Kim, S. Nahm, S. Yoon, C. Kang,",http://dx.doi.org/10.1016/j.actamat.2014.04.008,article-journal,"Post-calcination, a novel method to synthesize cobalt oxide-based thermoelectric materials",Acta Materialia,,251
"Nikhil Satyala, Jerzy S. Krasinski, Daryoosh Vashaee,",Acta Materialia,74,2014,141-150,Elsevier BV,63,10.1016/j.actamat.2014.04.007,"N. Satyala, J. Krasinski, D. Vashaee,",http://dx.doi.org/10.1016/j.actamat.2014.04.007,article-journal,Simultaneous enhancement of mechanical and thermoelectric properties of polycrystalline magnesium silicide with conductive glass inclusion,Acta Materialia,,141
"J.Q. Li, Z.W. Lu, H.J. Wu, H.T. Li, F.S. Liu, W.Q. Ao, J. Luo, J.Q. He,",Acta Materialia,74,2014,215-223,Elsevier BV,64,10.1016/j.actamat.2014.04.036,"J. Li, Z. Lu, H. Wu, H. Li, F. Liu, W. Ao, J. Luo, J. He,",http://dx.doi.org/10.1016/j.actamat.2014.04.036,article-journal,"High thermoelectric performance of Ge1−xPbxSe0.5Te0.5 due to (Pb, Se) co-doping",Acta Materialia,,215
"Tulashi Dahal, Qing Jie, Giri Joshi, Shuo Chen, Chuanfei Guo, Yucheng Lan, Zhifeng Ren,",Acta Materialia,75,2014,316-321,Elsevier BV,65,10.1016/j.actamat.2014.05.019,"T. Dahal, Q. Jie, G. Joshi, S. Chen, C. Guo, Y. Lan, Z. Ren,",http://dx.doi.org/10.1016/j.actamat.2014.05.019,article-journal,Thermoelectric property enhancement in Yb-doped n-type skutterudites YbxCo4Sb12,Acta Materialia,,316
"A.U. Khan, N.V. Vlachos, E. Hatzikraniotis, G.S. Polymeris, Ch.B. Lioutas, E.C. Stefanaki, K.M. Paraskevopoulos, I. Giapintzakis, Th. Kyratsi,",Acta Materialia,77,2014,43-53,Elsevier BV,66,10.1016/j.actamat.2014.04.060,"A. Khan, N. Vlachos, E. Hatzikraniotis, G. Polymeris, C. Lioutas, E. Stefanaki, K. Paraskevopoulos, I. Giapintzakis, T. Kyratsi,",http://dx.doi.org/10.1016/j.actamat.2014.04.060,article-journal,Thermoelectric properties of highly efficient Bi-doped Mg2Si1−x−ySnxGey materials,Acta Materialia,,43
"Johannes de Boor, Titas Dasgupta, Hendrik Kolb, Camille Compere, Klemens Kelm, Echard Mueller,",Acta Materialia,77,2014,68-75,Elsevier BV,67,10.1016/j.actamat.2014.05.041,"J. de Boor, T. Dasgupta, H. Kolb, C. Compere, K. Kelm, E. Mueller,",http://dx.doi.org/10.1016/j.actamat.2014.05.041,article-journal,Microstructural effects on thermoelectric efficiency: A case study on magnesium silicide,Acta Materialia,,68
"M. Beaumale, T. Barbier, Y. Bréard, G. Guelou, A.V. Powell, P. Vaqueiro, E. Guilmeau,",Acta Materialia,78,2014,86-92,Elsevier BV,68,10.1016/j.actamat.2014.06.032,"M. Beaumale, T. Barbier, Y. Bréard, G. Guelou, A. Powell, P. Vaqueiro, E. Guilmeau,",http://dx.doi.org/10.1016/j.actamat.2014.06.032,article-journal,Electron doping and phonon scattering in Ti1+xS2 thermoelectric compounds,Acta Materialia,,86
"Z.J. Xu, L.P. Hu, P.J. Ying, X.B. Zhao, T.J. Zhu,",Acta Materialia,84,2015,385-392,Elsevier BV,69,10.1016/j.actamat.2014.10.062,"Z. Xu, L. Hu, P. Ying, X. Zhao, T. Zhu,",http://dx.doi.org/10.1016/j.actamat.2014.10.062,article-journal,"Enhanced thermoelectric and mechanical properties of zone melted p-type (Bi,Sb)2Te3 thermoelectric materials by hot deformation",Acta Materialia,,385
"Yaw Wang Chai, Toshinori Oniki, Yoshisato Kimura,",Acta Materialia,85,2015,290-300,Elsevier BV,70,10.1016/j.actamat.2014.11.042,"Y. Chai, T. Oniki, Y. Kimura,",http://dx.doi.org/10.1016/j.actamat.2014.11.042,article-journal,Microstructure and thermoelectric properties of a ZrNi 1.1 Sn half-Heusler alloy,Acta Materialia,,290
"Jiehe Sui, Jing Shuai, Yucheng Lan, Yuan Liu, Ran He, Dezhi Wang, Qing Jie, Zhifeng Ren,",Acta Materialia,87,2015,266-272,Elsevier BV,71,10.1016/j.actamat.2015.01.018,"J. Sui, J. Shuai, Y. Lan, Y. Liu, R. He, D. Wang, Q. Jie, Z. Ren,",http://dx.doi.org/10.1016/j.actamat.2015.01.018,article-journal,Effect of Cu concentration on thermoelectric properties of nanostructured  p -type MgAg 0.97− x Cu x Sb 0.99,Acta Materialia,,266
"Jing Shuai, Yumei Wang, Hee Seok Kim, Zihang Liu, Jingying Sun, Shuo Chen, Jiehe Sui, Zhifeng Ren,",Acta Materialia,93,2015,187-193,Elsevier BV,73,10.1016/j.actamat.2015.04.023,"J. Shuai, Y. Wang, H. Kim, Z. Liu, J. Sun, S. Chen, J. Sui, Z. Ren,",http://dx.doi.org/10.1016/j.actamat.2015.04.023,article-journal,Thermoelectric properties of Na-doped Zintl compound: Mg 3− x Na x Sb 2,Acta Materialia,,187
"Jon Mackey, Frederick Dynys, Alp Sehirlioglu,",Acta Materialia,98,2015,263-274,Elsevier BV,76,10.1016/j.actamat.2015.07.025,"J. Mackey, F. Dynys, A. Sehirlioglu,",http://dx.doi.org/10.1016/j.actamat.2015.07.025,article-journal,Si/Ge–WSi2 composites: Processing and thermoelectric properties,Acta Materialia,,263
